present_only_in,event_idx,contingency,row_count,gpu_converged,gpu_status_code,cpu_converged,cpu_status_code
gpu,111,BR_11076_11077_1,2121,True,OK,True,OK
gpu,112,BR_11076_11167_1,2121,True,OK,True,OK
gpu,113,BR_11076_11167_2,2121,True,OK,True,OK
gpu,114,BR_11076_11167_3,2121,True,OK,True,OK
gpu,115,BR_11076_11295_1,2121,True,OK,True,OK
gpu,116,BR_11078_11080_1,2121,True,OK,True,OK
gpu,117,BR_11078_11081_1,2121,True,OK,True,OK
gpu,118,BR_11218_11081_1,2121,True,OK,True,OK
gpu,119,BR_11082_11083_1,2121,True,OK,True,OK
gpu,120,BR_11082_11100_1,2121,True,OK,True,OK
gpu,121,BR_11082_11141_1,2121,True,OK,True,OK
gpu,122,BR_11082_11176_1,2121,True,OK,True,OK
gpu,123,BR_11082_11300_1,2121,True,OK,True,OK
gpu,124,BR_11090_11084_1,2121,True,OK,True,OK
gpu,125,BR_11084_11098_1,2121,True,OK,True,OK
gpu,126,BR_11190_11084_1,2121,True,OK,True,OK
gpu,127,BR_11085_11089_1,2121,True,OK,True,OK
gpu,128,BR_11086_11090_1,2121,True,OK,True,OK
gpu,129,BR_11086_11093_1,2121,True,OK,True,OK
gpu,130,BR_11086_11098_1,2121,True,OK,True,OK
gpu,131,BR_11190_11086_1,2121,True,OK,True,OK
gpu,132,BR_11092_11089_1,2121,True,OK,True,OK
gpu,133,BR_11146_11089_1,2121,True,OK,True,OK
gpu,134,BR_11219_11089_1,2121,True,OK,True,OK
gpu,135,BR_11098_11090_1,2121,True,OK,True,OK
gpu,136,BR_11091_11178_1,2121,True,OK,True,OK
gpu,137,BR_11091_11178_2,2121,True,OK,True,OK
gpu,140,BR_11426_11091_1,2121,True,OK,True,OK
gpu,141,BR_11092_11094_1,2121,True,OK,True,OK
gpu,142,BR_11092_11101_1,2121,True,OK,True,OK
gpu,143,BR_11106_11092_1,2121,True,OK,True,OK
gpu,144,BR_11092_11168_1,2121,True,OK,True,OK
gpu,145,BR_11092_11218_1,2121,True,OK,True,OK
gpu,146,BR_11093_11097_1,2121,True,OK,True,OK
gpu,147,BR_11098_11093_1,2121,True,OK,True,OK
gpu,148,BR_11098_11093_2,2121,True,OK,True,OK
gpu,149,BR_11098_11093_3,2121,True,OK,True,OK
gpu,150,BR_11300_11093_1,2121,True,OK,True,OK
gpu,151,BR_11108_11095_1,2121,True,OK,True,OK
gpu,152,BR_11095_11176_1,2121,True,OK,True,OK
gpu,153,BR_11095_11225_1,2121,True,OK,True,OK
gpu,154,BR_11095_11300_1,2121,True,OK,True,OK
gpu,155,BR_11096_11205_1,2121,True,OK,True,OK
gpu,156,BR_11358_11096_1,2121,True,OK,True,OK
gpu,157,BR_11097_11104_1,2121,True,OK,True,OK
gpu,158,BR_11097_11108_1,2121,True,OK,True,OK
gpu,159,BR_11098_11099_1,2121,True,OK,True,OK
gpu,160,BR_11098_11214_1,2121,True,OK,True,OK
gpu,161,BR_11098_11214_2,2121,True,OK,True,OK
gpu,162,BR_11098_11331_1,2121,True,OK,True,OK
gpu,163,BR_11098_11331_2,2121,True,OK,True,OK
gpu,164,BR_11098_11331_3,2121,True,OK,True,OK
gpu,165,BR_11100_11167_1,2121,True,OK,True,OK
gpu,166,BR_11100_11169_1,2121,True,OK,True,OK
gpu,167,BR_11100_11176_1,2121,True,OK,True,OK
gpu,168,BR_11190_11100_1,2121,True,OK,True,OK
