dataset,column,unit,compared_values,missing_either,cpu_mean,gpu_mean,mean_signed_difference,mean_absolute_difference,root_mean_squared_difference,maximum_absolute_difference,mean_absolute_percent_difference,mean_signed_percent_change,symmetric_mean_absolute_percent_difference,reference_zero_excluded,within_tolerance_count,within_tolerance_percent,circular_difference
flat,p_from_mw,MW,74701440,0,-18.058430899712235,-18.05843350646921,-2.6067569781792523e-06,6.973783771772056e-05,0.002617820942068368,0.8464000000000453,0.0016888965530063498,-3.8135577324385265e-05,0.0021136266765935147,3542545,69292549,92.75932164092151,False
flat,q_from_mvar,MVAr,74701440,0,0.11275070070938396,0.11273712434191362,-1.3576367470292632e-05,0.0004942956521320073,0.036066312138353096,40.5746,0.02045528408762633,0.004899996361964045,0.015093306236045484,3525170,67430508,90.26667759015086,False
flat,mva_from,MVA,74701440,0,73.95325253850932,73.95321419966872,-3.833884058995281e-05,0.00017064024736337277,0.013543200000221725,10.252399999999966,0.0006821708372327597,-0.00011932742517597935,0.0015624249468110666,3525099,69218916,92.6607519212481,False
flat,rate_mva,MVA,74701440,0,274.8340071931678,274.8340071931678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,74701440,100.0,False
flat,loading_percent,percent,74701440,0,24.03935061653429,24.039331921178494,-1.8695355805724754e-05,6.937362920982507e-05,0.0052741886747667225,3.870000000000001,0.0006718941154380729,-0.00012657486398604627,0.000763961157479683,3525112,74469416,99.68939822311323,False
flat,v_from_pu,p.u.,74701440,0,1.0276481495683343,1.0276475879417186,-5.616266165684803e-07,6.172941378371524e-07,3.151222179297479e-05,0.014437000000000033,6.025263998836301e-05,-5.490195687098521e-05,6.0299229762743004e-05,1,73173751,97.9549403599181,False
flat,v_to_pu,p.u.,74701440,0,1.0279146254172078,1.0279140687273498,-5.566898576519384e-07,6.128254020269989e-07,2.9988175768278192e-05,0.015490000000000004,5.979210914516094e-05,-5.43959119387642e-05,5.9834157371143443e-05,1,73222836,98.02064859793867,False
flat,ang_from_deg,degrees,74701440,0,-6.322307390646018,-6.32234164786917,-3.425722315376469e-05,6.045624153429866e-05,0.0004250810492164016,0.17179999999996198,0.002792070539080427,0.000434713328756783,0.0024840482399992206,175,57017072,76.32660361031863,True
flat,ang_to_deg,degrees,74701440,0,-6.020950450289845,-6.020984486038022,-3.403574817283209e-05,6.0294596725311026e-05,0.00039078123786938444,0.18280000000004293,0.002338957761321795,0.0003131271007264304,0.002153644973255967,123,57026935,76.33980683638762,True
convergence,iterations,iterations,8639,0,1.9329783539761547,4.771154068757958,2.8381757147818036,2.8381757147818036,4.127398789345706,22.0,142.87919126442105,142.87919126442105,65.31112949571832,0,2225,25.755295751823127,False
convergence,final_tolerance,p.u.,8639,0,9.466414124664659e-06,3.125259715703785e-05,2.178618303237319e-05,2.618535788485797e-05,3.794504318564312e-05,9.995960860000001e-05,114186.53319933238,114178.40856860873,113.36550268707049,111,2297,26.588725546938303,False
convergence,max_p_mismatch,p.u.,8639,0,0.0006838059960643593,6.717212640351893e-05,-0.0006166338696608404,0.0006166338696608404,0.001622237739721404,0.01,79.02097902097903,-79.02097902097903,158.04195804195805,4063,5023,58.14330362310452,False
convergence,max_q_mismatch,p.u.,8639,0,0.0007269359879615697,0.00017880541729366821,-0.0005481305706679014,0.0005482000231508276,0.0014667219557640482,0.0099,71.58951249487914,-71.58951249487914,143.19066147859922,3757,5143,59.53235328162981,False
buses,base_kv,kV,6717,0,104.30576150066993,104.30576150066993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6717,100.0,False
